,Unnamed: 0,Performance,Video URL,video
56,56,0.9358,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929511878466995,Video/video_56.mp4
57,57,1.3256,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929300948587514,Video/video_57.mp4
58,58,0.3247,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925596815118953,Video/video_58.mp4
59,59,0.4572,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925260332281638,Video/video_59.mp4
60,60,1.9042,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-924865635226814,Video/video_60.mp4
61,61,1.8667,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-924585008982148,Video/video_61.mp4
62,62,1.7492,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-621652523105267,Video/video_62.mp4
63,63,0.2689,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-621266003076530,Video/video_63.mp4
64,64,1.2383,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-620702145697389,Video/video_64.mp4
65,65,1.2875,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-620154813059921,Video/video_65.mp4
66,66,0.9139,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-618555366744628,Video/video_66.mp4
67,67,1.8351,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6174004652651971,Video/video_67.mp4
68,68,0.7379,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-617288786873081,Video/video_68.mp4
69,69,0.3688,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6172742522782221,Video/video_69.mp4
70,70,1.2673,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613417017284998,Video/video_70.mp4
71,71,0.6284,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613197413789434,Video/video_71.mp4
72,72,1.541,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613152173490344,Video/video_72.mp4
73,73,1.1942,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-612555930635832,Video/video_73.mp4
74,74,0.5582,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-612426467555072,Video/video_74.mp4
75,75,0.2946,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-611188517518682,Video/video_75.mp4
76,76,2.1881,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6107397609317402,Video/video_76.mp4
77,77,1.7413,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6096104653784047,Video/video_77.mp4
78,78,1.1599,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-606237444463640,Video/video_78.mp4
79,79,1.4393,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-605272664726548,Video/video_79.mp4
80,80,0.2606,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6046690562050296,Video/video_80.mp4
81,81,1.2,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604285914607200,Video/video_81.mp4
82,82,1.5304,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604041931565137,Video/video_82.mp4
83,83,0.4917,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-603099807587246,Video/video_83.mp4
84,84,0.2123,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911926190614858,Video/video_84.mp4
85,85,1.887,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911482386703699,Video/video_85.mp4
86,86,1.9529,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911172609864769,Video/video_86.mp4
87,87,0.8536,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-910958533691058,Video/video_87.mp4
88,88,0.8701,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909937876815529,Video/video_88.mp4
89,89,1.517,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909110383822260,Video/video_89.mp4
90,90,0.3052,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909067460285978,Video/video_90.mp4
91,91,0.5691,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-907416560296782,Video/video_91.mp4
92,92,0.9162,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-906909830682725,Video/video_92.mp4
93,93,0.5857,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-906506897404894,Video/video_93.mp4
94,94,0.9664,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905844110841635,Video/video_94.mp4
95,95,0.239,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399,Video/video_95.mp4
96,96,2.1973,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905545323817883,Video/video_96.mp4
97,97,2.2575,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904815481005158,Video/video_97.mp4
98,98,2.2526,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904480964010630,Video/video_98.mp4
99,99,0.2472,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904174908300812,Video/video_99.mp4
100,100,0.7601,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903960640750545,Video/video_100.mp4
101,101,0.826,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903913985069116,Video/video_101.mp4
102,102,0.3204,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903060767715541,Video/video_102.mp4
103,103,1.2998,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902843234362370,Video/video_103.mp4
104,104,1.3935,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902456848100089,Video/video_104.mp4
105,105,1.158491558,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902309670925392,Video/video_105.mp4
106,106,1.597343023,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-9020567984620018,Video/video_106.mp4
107,107,1.315073565,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-901695498551491,Video/video_107.mp4
108,108,1.106352436,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-901272811190482,Video/video_108.mp4
109,109,0.5819528639,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-899987727789409,Video/video_109.mp4
110,110,0.6845490809,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8995485367146316,Video/video_110.mp4
111,111,0.8579937833,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-899155277883965,Video/video_111.mp4
112,112,1.003056946,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-898967424867870,Video/video_112.mp4
113,113,0.8497362533,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-898402801287469,Video/video_113.mp4
114,114,0.8449650735,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-898103501380741,Video/video_114.mp4
115,115,1.75239991,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-897680994566577,Video/video_115.mp4
116,116,1.66341735,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-897088088160051,Video/video_116.mp4
117,117,0.01280797851,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-896843165102015,Video/video_117.mp4
118,118,0.2748889276,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-896598988012982,Video/video_118.mp4
119,119,0.9346305652,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-896589688256009,Video/video_119.mp4
120,120,1.452785021,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-895042408159688,Video/video_120.mp4
121,121,0.1103471175,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894559812351386,Video/video_121.mp4
122,122,1.745926628,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894559522288371,Video/video_122.mp4
